"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"12/5/2024","12/5/2024","12/5/2024","TLT","Cash Div: R/D 2024-12-02 P/D 2024-12-05 - 12.198668 shares at 0.325021","CDIV","","","$3.96"
"12/5/2024","12/5/2024","12/6/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","1.162954","$214.97","($250.00)"
"12/5/2024","12/5/2024","12/6/2024","","ACH Deposit","ACH","","","$250.00"
"12/5/2024","12/5/2024","12/6/2024","","ACH Deposit","ACH","","","$2,000.00"
"12/2/2024","12/2/2024","12/3/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.378384","$554.99","($210.00)"
"12/2/2024","12/2/2024","12/3/2024","","ACH Deposit","ACH","","","$210.00"
"11/29/2024","11/29/2024","12/2/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","1.002697","$209.44","($210.00)"
"11/29/2024","11/29/2024","12/2/2024","","ACH Deposit","ACH","","","$210.00"
"11/27/2024","11/27/2024","11/29/2024","SMH","VanEck Semiconductor ETF
CUSIP: 92189F676","Buy","0.1","$235.13","($23.51)"
"11/26/2024","11/26/2024","11/27/2024","SMH","VanEck Semiconductor ETF
CUSIP: 92189F676","Buy","0.1","$242.19","($24.22)"
"11/25/2024","11/25/2024","11/26/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.382604","$548.87","($210.00)"
"11/25/2024","11/25/2024","11/26/2024","","ACH Deposit","ACH","","","$210.00"
"11/22/2024","11/22/2024","11/25/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649","Buy","1","$208.12","($208.12)"
"11/21/2024","11/21/2024","11/22/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","1.008751","$208.18","($210.00)"
"11/21/2024","11/21/2024","11/22/2024","","ACH Deposit","ACH","","","$210.00"
"11/20/2024","11/20/2024","11/21/2024","MCD","McDonald's
CUSIP: 580135101","Buy","0.4","$289.33","($115.73)"
"11/20/2024","11/20/2024","11/21/2024","","ACH Deposit","ACH","","","$800.00"
"11/20/2024","11/20/2024","11/21/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.4","$539.63","($215.85)"
"11/18/2024","11/18/2024","11/19/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.388363","$540.73","($210.00)"
"11/18/2024","11/18/2024","11/19/2024","","ACH Deposit","ACH","","","$210.00"
"11/15/2024","11/15/2024","11/15/2024","COST","Cash Div: R/D 2024-11-01 P/D 2024-11-15 - 0.2 shares at 1.16","CDIV","","","$0.23"
"11/15/2024","11/15/2024","11/18/2024","TLT","iShares 20+ Year Treasury Bond ETF
CUSIP: 464287432","Buy","0.2","$89.72","($17.94)"
"11/14/2024","11/14/2024","11/14/2024","AAPL","Cash Div: R/D 2024-11-11 P/D 2024-11-14 - 7.4 shares at 0.25","CDIV","","","$1.85"
"11/14/2024","11/14/2024","11/15/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","0.998715","$210.27","($210.00)"
"11/14/2024","11/14/2024","11/15/2024","","ACH Deposit","ACH","","","$210.00"
"11/11/2024","11/11/2024","11/12/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.363811","$549.74","($200.00)"
"11/11/2024","11/11/2024","11/13/2024","","ACH Deposit","ACH","","","$200.00"
"11/7/2024","11/7/2024","11/8/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","0.948721","$210.81","($200.00)"
"11/7/2024","11/7/2024","11/8/2024","","ACH Deposit","ACH","","","$200.00"
"11/6/2024","11/6/2024","11/6/2024","TLT","Cash Div: R/D 2024-11-01 P/D 2024-11-06 - 10.998668 shares at 0.310541","CDIV","","","$3.42"
"11/6/2024","11/6/2024","11/7/2024","TLT","iShares 20+ Year Treasury Bond ETF
CUSIP: 464287432","Buy","1","$89.90","($89.91)"
"11/6/2024","11/6/2024","11/7/2024","HD","Home Depot
CUSIP: 437076102","Buy","0.5","$385.46","($192.73)"
"11/4/2024","11/4/2024","11/5/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.1","$524.84","($52.48)"
"11/4/2024","11/4/2024","11/5/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.381308","$524.51","($200.00)"
"11/4/2024","11/4/2024","11/5/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.1","$524.78","($52.48)"
"11/4/2024","11/4/2024","11/5/2024","","ACH Deposit","ACH","","","$200.00"
"11/4/2024","11/4/2024","11/5/2024","MSFT","Microsoft
CUSIP: 594918104","Buy","0.2","$408.35","($81.67)"
"11/1/2024","11/1/2024","11/4/2024","HD","Home Depot
CUSIP: 437076102","Buy","0.2","$397.36","($79.47)"
"10/31/2024","10/31/2024","11/1/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","1.001405","$199.72","($200.00)"
"10/31/2024","10/31/2024","11/1/2024","MSFT","Microsoft
CUSIP: 594918104","Buy","0.5","$409.10","($204.55)"
"10/31/2024","10/31/2024","11/1/2024","","ACH Deposit","ACH","","","$900.00"
"10/31/2024","10/31/2024","11/1/2024","","ACH Deposit","ACH","","","$200.00"
"10/28/2024","10/28/2024","10/29/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.374111","$534.60","($200.00)"
"10/28/2024","10/28/2024","10/29/2024","","ACH Deposit","ACH","","","$200.00"
"10/28/2024","10/28/2024","10/29/2024","MCD","McDonald's
CUSIP: 580135101","Buy","0.5","$296.90","($148.45)"
"10/24/2024","10/24/2024","10/25/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","0.987997","$202.43","($200.00)"
"10/24/2024","10/24/2024","10/25/2024","","ACH Deposit","ACH","","","$200.00"
"10/24/2024","10/24/2024","10/25/2024","MCD","McDonald's
CUSIP: 580135101","Buy","0.4","$298.40","($119.36)"
